countryFront;countryBack
Afghanistan;Afghanistan
Angola;Angola
Albania;Albania
United Arab Emirates;United Arab Emirates
Argentina;Argentina
Armenia;Armenia
Antarctica;Antarctica
French Southern and Antarctic Lands;French Southern and Antarctic Lands
Australia;Australia
Austria;Austria
Azerbaijan;Azerbaijan
Burundi;Burundi
Belgium;Belgium
Benin;Benin
Burkina Faso;Burkina Faso
Bangladesh;Bangladesh
Bulgaria;Bulgaria
The Bahamas;Bahamas
Bosnia and Herzegovina;Bosnia and Herzegovina
Belarus;Belarus
Belize;Belize
Bolivia;Bolivia
Brazil;Brazil
Brunei;Brunei Darussalam
Bhutan;Bhutan
Botswana;Botswana
Central African Republic;Central African Republic
Canada;Canada
Switzerland;Switzerland
Chile;Chile
China;China
Ivory Coast;Côte d'Ivoire
Cameroon;Cameroon
Democratic Republic of the Congo;Congo, Democratic Republic of the
Republic of the Congo;Congo
Colombia;Colombia
Costa Rica;Costa Rica
Cuba;Cuba
Northern Cyprus;Cyprus
Cyprus;Cyprus
Czech Republic;Czech Republic
Germany;Germany
Djibouti;Djibouti
Denmark;Denmark
Dominican Republic;Dominican Republic
Algeria;Algeria
Ecuador;Ecuador
Egypt;Egypt
Eritrea;Eritrea
Spain;Spain
Estonia;Estonia
Ethiopia;Ethiopia
Finland;Finland
Fiji;Fiji
Falkland Islands;Falkland Islands (Malvinas)
France;France
Gabon;Gabon
England;United Kingdom
Georgia;Georgia
Ghana;Ghana
Guinea;Guinea
Gambia;Gambia
Guinea Bissau;Guinea-Bissau
Equatorial Guinea;Equatorial Guinea
Greece;Greece
Greenland;Greenland
Guatemala;Guatemala
Guyana;Guyana
Honduras;Honduras
Croatia;Croatia
Haiti;Haiti
Hungary;Hungary
Indonesia;Indonesia
India;India
Ireland;Ireland
Iran;Iran, Islamic Rep. of
Iraq;Iraq
Iceland;Iceland
Israel;Israel
Italy;Italy
Jamaica;Jamaica
Jordan;Jordan
Japan;Japan
Kazakhstan;Kazakhstan
Kenya;Kenya
Kyrgyzstan;Kyrgyzstan
Cambodia;Cambodia
South Korea;South Korea
Kosovo;Kosovo
Kuwait;Kuwait
Laos;Lao People's Dem. Rep.
Lebanon;Lebanon
Liberia;Liberia
Libya;Libyan Arab Jamahiriya
Sri Lanka;Sri Lanka
Lesotho;Lesotho
Lithuania;Lithuania
Luxembourg;Luxembourg
Latvia;Latvia
Morocco;Morocco
Moldova;Moldova, Republic of
Madagascar;Madagascar
Mexico;Mexico
Macedonia;Macedonia, The former Yugoslav Rep. of
Mali;Mali
Myanmar;Myanmar
Montenegro;Montenegro
Mongolia;Mongolia
Mozambique;Mozambique
Mauritania;Mauritania
Malawi;Malawi
Malaysia;Malaysia
Namibia;Namibia
New Caledonia;New Caledonia
Niger;Niger
Nigeria;Nigeria
Nicaragua;Nicaragua
Netherlands;Netherlands
Norway;Norway
Nepal;Nepal
New Zealand;New Zealand
Oman;Oman
Pakistan;Pakistan
Panama;Panama
Peru;Peru
Philippines;Philippines
Papua New Guinea;Papua New Guinea
Poland;Poland
Puerto Rico;Puerto Rico
North Korea;Noth Korea
Portugal;Portugal
Paraguay;Paraguay
Qatar;Qatar
Romania;Romania
Russia;Russian Federation
Rwanda;Rwanda
Western Sahara;Western Sahara
Saudi Arabia;Saudi Arabia
Sudan;Sudan, The Republic of
South Sudan;South Sudan, The Republic of
Senegal;Senegal
Solomon Islands;Solomon Islands
Sierra Leone;Sierra Leone
El Salvador;El Salvador
Somaliland;Somaliland
Somalia;Somalia
Republic of Serbia;Serbia
Suriname;Suriname
Slovakia;Slovakia
Slovenia;Slovenia
Sweden;Sweden
Swaziland;Swaziland
Syria;Syrian Arab Republic
Chad;Chad
Togo;Togo
Thailand;Thailand
Tajikistan;Tajikistan
Turkmenistan;Turkmenistan
East Timor;Timor-Leste
Trinidad and Tobago;Trinidad and Tobago
Tunisia;Tunisia
Turkey;Turkey
Taiwan;Taiwan, China
United Republic of Tanzania;Tanzania, United Republic of
Uganda;Uganda
Ukraine;Ukraine
Uruguay;Uruguay
USA;United States
Uzbekistan;Uzbekistan
Venezuela;Venezuela, Bolivarian Rep. of
Vietnam;Viet Nam
Vanuatu;Vanuatu
West Bank;West Bank and Gaza Strip
Yemen;Yemen
South Africa;South Africa
Zambia;Zambia
Zimbabwe;Zimbabwe
